"x:14,y:2","x:15,y:19","x:19,y:16","x:20,y:19","x:2,y:0","x:4,y:11","x:0,y:2","x:15,y:12","[(6, 3), (4, 1), (0, 2), (5, 7)]",47.591653474511205,47.591653474511205,1.0
"x:13,y:12","x:8,y:20","x:13,y:7","x:19,y:4","x:15,y:3","x:19,y:9","x:10,y:1","x:8,y:13","[(6, 3), (4, 1), (0, 2), (5, 7)]",44.051085249856264,44.05108524985626,0.9999999999999999
"x:14,y:2","x:7,y:2","x:1,y:7","x:12,y:10","x:19,y:6","x:8,y:17","x:13,y:11","x:6,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.35001153401513,41.35001153401513,1.0
"x:19,y:8","x:7,y:4","x:4,y:1","x:16,y:2","x:11,y:6","x:9,y:10","x:13,y:19","x:3,y:4","[(6, 3), (4, 1), (0, 2), (5, 7)]",40.604742860631816,43.28584914497738,1.066029387097659
"x:0,y:15","x:3,y:2","x:20,y:7","x:6,y:20","x:6,y:12","x:8,y:11","x:14,y:0","x:19,y:11","[(6, 3), (4, 1), (0, 2), (5, 7)]",58.22654760360493,62.51847840791419,1.0737108927276249
"x:3,y:13","x:10,y:1","x:19,y:3","x:17,y:18","x:5,y:9","x:13,y:16","x:10,y:8","x:11,y:6","[(6, 3), (4, 1), (0, 2), (5, 7)]",49.46402576682833,49.46402576682833,1.0
"x:18,y:20","x:16,y:14","x:20,y:2","x:11,y:18","x:1,y:7","x:2,y:2","x:3,y:4","x:16,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",46.47254615236848,48.559987006555865,1.0449177208269016
"x:10,y:20","x:7,y:4","x:8,y:3","x:12,y:1","x:18,y:20","x:12,y:19","x:3,y:19","x:20,y:11","[(6, 3), (4, 1), (0, 2), (5, 7)]",47.3134422805884,54.077374303088604,1.1429600489092988
"x:2,y:15","x:12,y:6","x:14,y:15","x:0,y:18","x:6,y:9","x:4,y:15","x:2,y:5","x:5,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",40.630657151041945,41.58694421112343,1.0235360963158078
"x:19,y:9","x:19,y:15","x:10,y:6","x:11,y:17","x:8,y:18","x:20,y:8","x:6,y:12","x:12,y:1","[(6, 3), (4, 1), (0, 2), (5, 7)]",40.76576807328191,41.976870624209894,1.02970881227482
"x:2,y:5","x:6,y:6","x:13,y:10","x:17,y:3","x:3,y:9","x:4,y:1","x:5,y:10","x:6,y:5","[(6, 3), (4, 1), (0, 2), (5, 7)]",35.60798628526271,35.731091910880366,1.00345724761382
"x:4,y:20","x:1,y:18","x:16,y:19","x:1,y:11","x:18,y:16","x:17,y:15","x:8,y:1","x:14,y:15","[(6, 3), (4, 1), (0, 2), (5, 7)]",43.39102065798075,52.26587875534974,1.2045321350544602
"x:11,y:14","x:7,y:5","x:5,y:12","x:19,y:19","x:17,y:17","x:2,y:12","x:11,y:18","x:15,y:1","[(6, 3), (4, 1), (0, 2), (5, 7)]",49.921724067456985,49.921724067456985,1.0
"x:20,y:19","x:1,y:11","x:13,y:2","x:13,y:9","x:18,y:0","x:2,y:8","x:8,y:16","x:9,y:18","[(6, 3), (4, 1), (0, 2), (5, 7)]",50.79894694331271,56.4933864769233,1.1120975901324313
"x:17,y:10","x:19,y:7","x:8,y:11","x:10,y:12","x:2,y:18","x:5,y:5","x:19,y:11","x:4,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",33.645168071272266,33.645168071272266,1.0
"x:19,y:19","x:10,y:8","x:13,y:3","x:1,y:15","x:18,y:13","x:20,y:1","x:9,y:13","x:17,y:2","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.544328475757666,41.978309607814275,1.0104462184846688
"x:9,y:13","x:11,y:16","x:6,y:4","x:9,y:2","x:9,y:5","x:14,y:11","x:11,y:11","x:7,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",32.26187732211608,38.61853828199145,1.1970332010257125
"x:18,y:16","x:11,y:16","x:14,y:4","x:7,y:7","x:11,y:3","x:2,y:2","x:14,y:15","x:13,y:20","[(6, 3), (4, 1), (0, 2), (5, 7)]",44.71567754701397,53.72239152711529,1.2014218384733562
"x:1,y:9","x:1,y:19","x:20,y:10","x:18,y:15","x:3,y:1","x:1,y:3","x:10,y:4","x:0,y:8","[(6, 3), (4, 1), (0, 2), (5, 7)]",52.960802890885304,55.71046565235101,1.0519188269696518
"x:15,y:16","x:14,y:16","x:18,y:17","x:3,y:15","x:12,y:17","x:4,y:1","x:12,y:1","x:14,y:17","[(6, 3), (4, 1), (0, 2), (5, 7)]",38.65355894257925,39.40604079218515,1.0194673367780631
"x:4,y:16","x:11,y:8","x:6,y:15","x:5,y:4","x:9,y:2","x:18,y:12","x:19,y:18","x:1,y:12","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.358981237084066,41.358981237084066,1.0
"x:8,y:8","x:1,y:2","x:13,y:10","x:10,y:19","x:16,y:20","x:1,y:8","x:10,y:9","x:18,y:3","[(6, 3), (4, 1), (0, 2), (5, 7)]",54.42404046160186,65.02272669880745,1.1947427303690057
"x:0,y:0","x:4,y:4","x:3,y:6","x:15,y:10","x:11,y:20","x:20,y:4","x:17,y:3","x:7,y:8","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.82398659694498,41.82398659694498,1.0
"x:14,y:7","x:4,y:5","x:9,y:1","x:12,y:8","x:16,y:17","x:9,y:4","x:19,y:14","x:1,y:19","[(6, 3), (4, 1), (0, 2), (5, 7)]",49.8763897980704,66.43008942689482,1.3318945035084486
"x:11,y:4","x:16,y:10","x:3,y:9","x:10,y:1","x:15,y:19","x:17,y:20","x:2,y:15","x:20,y:3","[(6, 3), (4, 1), (0, 2), (5, 7)]",48.23077121364453,48.23077121364453,1.0
"x:9,y:7","x:14,y:5","x:11,y:0","x:6,y:6","x:3,y:3","x:13,y:8","x:11,y:10","x:6,y:1","[(6, 3), (4, 1), (0, 2), (5, 7)]",32.987563333591105,37.69089471172147,1.1425789268084854
"x:4,y:9","x:0,y:6","x:16,y:13","x:20,y:18","x:1,y:13","x:7,y:4","x:9,y:18","x:20,y:5","[(6, 3), (4, 1), (0, 2), (5, 7)]",54.50085176185893,54.56216572886984,1.0011250093352453
"x:8,y:18","x:9,y:11","x:12,y:15","x:0,y:2","x:7,y:4","x:12,y:9","x:14,y:7","x:5,y:12","[(6, 3), (4, 1), (0, 2), (5, 7)]",37.15447320009213,39.729996651850875,1.0693193370792393
"x:10,y:14","x:10,y:19","x:17,y:19","x:6,y:4","x:20,y:19","x:11,y:1","x:15,y:17","x:13,y:0","[(6, 3), (4, 1), (0, 2), (5, 7)]",43.3091605649758,60.1106071408186,1.3879420971606216
"x:4,y:7","x:12,y:12","x:20,y:18","x:13,y:13","x:6,y:19","x:18,y:0","x:5,y:19","x:12,y:10","[(6, 3), (4, 1), (0, 2), (5, 7)]",42.441990821716736,43.33196820845581,1.0209692658027647
"x:0,y:10","x:12,y:17","x:2,y:7","x:19,y:8","x:16,y:1","x:11,y:7","x:11,y:18","x:7,y:6","[(6, 3), (4, 1), (0, 2), (5, 7)]",42.47416123368379,51.38732824016148,1.2098491588200964
"x:4,y:4","x:2,y:12","x:14,y:5","x:2,y:13","x:17,y:16","x:6,y:16","x:6,y:11","x:14,y:11","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.43791427364045,42.094768523132835,1.0158515277857558
"x:6,y:3","x:3,y:20","x:0,y:2","x:16,y:17","x:15,y:18","x:13,y:6","x:15,y:16","x:16,y:18","[(6, 3), (4, 1), (0, 2), (5, 7)]",39.47631328631723,49.12321668208539,1.2443719433929978
"x:0,y:20","x:20,y:13","x:7,y:3","x:13,y:20","x:19,y:9","x:20,y:10","x:11,y:19","x:17,y:19","[(6, 3), (4, 1), (0, 2), (5, 7)]",45.84509465379934,51.96848933479307,1.1335670637662487
"x:16,y:12","x:19,y:9","x:10,y:11","x:19,y:12","x:8,y:13","x:14,y:18","x:5,y:16","x:0,y:0","[(6, 3), (4, 1), (0, 2), (5, 7)]",48.28189416448322,53.84290777091185,1.1151780331460024
"x:19,y:5","x:9,y:6","x:6,y:3","x:18,y:16","x:16,y:2","x:13,y:16","x:13,y:8","x:13,y:14","[(6, 3), (4, 1), (0, 2), (5, 7)]",34.0196750775367,38.491811032536276,1.1314573388724851
"x:6,y:19","x:7,y:1","x:16,y:10","x:13,y:20","x:2,y:7","x:5,y:2","x:18,y:0","x:15,y:20","[(6, 3), (4, 1), (0, 2), (5, 7)]",55.15558587924064,64.91560654098996,1.1769543466208157
"x:2,y:0","x:3,y:2","x:2,y:9","x:15,y:3","x:2,y:2","x:11,y:20","x:9,y:3","x:12,y:5","[(6, 3), (4, 1), (0, 2), (5, 7)]",38.327161459599104,41.61040076943308,1.0856635134144974
"x:12,y:4","x:18,y:5","x:18,y:14","x:7,y:16","x:9,y:12","x:10,y:19","x:12,y:7","x:7,y:11","[(6, 3), (4, 1), (0, 2), (5, 7)]",42.71030397364062,53.180339887498945,1.2451407491812767
"x:17,y:10","x:0,y:20","x:5,y:18","x:10,y:17","x:11,y:15","x:4,y:4","x:9,y:13","x:3,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",38.230065958964325,43.4683611024183,1.1370203009609425
"x:0,y:3","x:12,y:10","x:16,y:4","x:14,y:17","x:20,y:0","x:18,y:1","x:12,y:8","x:9,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",38.36376475010003,45.083479360519476,1.1751578515349415
"x:13,y:17","x:16,y:13","x:19,y:11","x:19,y:16","x:13,y:11","x:15,y:17","x:3,y:18","x:20,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",28.50718942328419,28.62672448478581,1.0041931549170535
"x:8,y:15","x:3,y:7","x:15,y:1","x:16,y:13","x:0,y:14","x:6,y:0","x:13,y:13","x:5,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",48.50843987069802,53.92403232316174,1.1116422722911576
"x:1,y:19","x:12,y:2","x:11,y:20","x:17,y:20","x:1,y:2","x:6,y:1","x:13,y:2","x:8,y:8","[(6, 3), (4, 1), (0, 2), (5, 7)]",51.47306367097834,55.00262452963691,1.068571027386672
"x:7,y:16","x:1,y:9","x:7,y:19","x:4,y:2","x:1,y:10","x:13,y:8","x:17,y:6","x:19,y:19","[(6, 3), (4, 1), (0, 2), (5, 7)]",50.70462502997917,55.70252498883792,1.0985689166600432
"x:0,y:1","x:10,y:13","x:5,y:4","x:17,y:5","x:20,y:8","x:13,y:11","x:1,y:16","x:16,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",46.90833197962992,46.90833197962992,1.0
"x:4,y:0","x:0,y:16","x:17,y:0","x:2,y:20","x:0,y:11","x:11,y:20","x:8,y:14","x:5,y:14","[(6, 3), (4, 1), (0, 2), (5, 7)]",49.27020460535308,51.60117354225166,1.0473099098241887
"x:14,y:16","x:6,y:4","x:17,y:8","x:8,y:6","x:0,y:19","x:19,y:15","x:4,y:20","x:11,y:5","[(6, 3), (4, 1), (0, 2), (5, 7)]",39.9714733601739,39.9714733601739,1.0
"x:16,y:16","x:6,y:8","x:3,y:1","x:2,y:8","x:14,y:17","x:18,y:19","x:3,y:3","x:18,y:20","[(6, 3), (4, 1), (0, 2), (5, 7)]",35.65740366620652,35.65740366620652,1.0
"x:8,y:7","x:9,y:3","x:5,y:7","x:1,y:0","x:5,y:15","x:6,y:0","x:15,y:17","x:16,y:0","[(6, 3), (4, 1), (0, 2), (5, 7)]",44.56378533992252,45.241816194084976,1.015214839785054
"x:9,y:8","x:0,y:3","x:4,y:14","x:10,y:2","x:14,y:1","x:15,y:20","x:3,y:17","x:10,y:14","[(6, 3), (4, 1), (0, 2), (5, 7)]",48.88269135111837,55.804451152961406,1.1415994007393104
"x:1,y:18","x:20,y:11","x:5,y:20","x:3,y:10","x:0,y:5","x:8,y:17","x:6,y:19","x:6,y:20","[(6, 3), (4, 1), (0, 2), (5, 7)]",44.87074237020521,44.87074237020521,1.0
"x:16,y:1","x:17,y:9","x:12,y:15","x:7,y:17","x:0,y:4","x:6,y:16","x:7,y:19","x:8,y:12","[(6, 3), (4, 1), (0, 2), (5, 7)]",40.07256544056264,40.07256544056264,1.0
"x:10,y:0","x:1,y:7","x:13,y:5","x:17,y:8","x:14,y:8","x:5,y:2","x:4,y:2","x:1,y:11","[(6, 3), (4, 1), (0, 2), (5, 7)]",39.375285279006874,41.53756293917526,1.0549145903285992
"x:4,y:18","x:4,y:2","x:15,y:18","x:5,y:2","x:14,y:7","x:2,y:3","x:15,y:7","x:8,y:16","[(6, 3), (4, 1), (0, 2), (5, 7)]",40.60176502604324,41.52797470871184,1.022812054650198
"x:18,y:14","x:4,y:6","x:5,y:14","x:3,y:19","x:3,y:13","x:16,y:14","x:4,y:10","x:18,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",41.09551611139795,52.133920921803245,1.2686036301499026
"x:5,y:10","x:1,y:14","x:2,y:14","x:7,y:6","x:1,y:14","x:11,y:3","x:19,y:0","x:1,y:10","[(6, 3), (4, 1), (0, 2), (5, 7)]",28.85618623391256,30.756413278401595,1.0658516350388618
"x:15,y:5","x:1,y:17","x:2,y:15","x:19,y:17","x:14,y:13","x:18,y:12","x:5,y:17","x:18,y:7","[(6, 3), (4, 1), (0, 2), (5, 7)]",47.29173018724269,50.096809852635666,1.059314380215881
